Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice","t","518996.55","E","Estimated value"
"QCL","Crops and livestock products","3","Albania","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","4","Algeria","5510","Production","27","Rice","t","433.74","E","Estimated value"
"QCL","Crops and livestock products","7","Angola","5510","Production","27","Rice","t","15038.55","E","Estimated value"
"QCL","Crops and livestock products","9","Argentina","5510","Production","27","Rice","t","1204145.1","E","Estimated value"
"QCL","Crops and livestock products","1","Armenia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","10","Australia","5510","Production","27","Rice","t","732640.73","E","Estimated value"
"QCL","Crops and livestock products","52","Azerbaijan","5510","Production","27","Rice","t","8818.67","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice","t","43625258.79","E","Estimated value"
"QCL","Crops and livestock products","255","Belgium","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","23","Belize","5510","Production","27","Rice","t","14183.13","E","Estimated value"
"QCL","Crops and livestock products","53","Benin","5510","Production","27","Rice","t","177692.22","E","Estimated value"
"QCL","Crops and livestock products","18","Bhutan","5510","Production","27","Rice","t","60396.94","E","Estimated value"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","27","Rice","t","407182.95","E","Estimated value"
"QCL","Crops and livestock products","21","Brazil","5510","Production","27","Rice","t","11220000.03","E","Estimated value"
"QCL","Crops and livestock products","26","Brunei Darussalam","5510","Production","27","Rice","t","1642.69","E","Estimated value"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","27","Rice","t","37815.45","E","Estimated value"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","27","Rice","t","216343.57","E","Estimated value"
"QCL","Crops and livestock products","29","Burundi","5510","Production","27","Rice","t","78570.71","E","Estimated value"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","27","Rice","t","7103016.28","E","Estimated value"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","27","Rice","t","144711.22","E","Estimated value"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","27","Rice","t","24212.24","E","Estimated value"
"QCL","Crops and livestock products","39","Chad","5510","Production","27","Rice","t","177989.94","E","Estimated value"
"QCL","Crops and livestock products","40","Chile","5510","Production","27","Rice","t","134161.84","E","Estimated value"
"QCL","Crops and livestock products","351","China","5510","Production","27","Rice","t","197736437.31","E","Estimated value"
"QCL","Crops and livestock products","96","China, Hong Kong SAR","5510","Production","27","Rice","t","0.04","E","Estimated value"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","27","Rice","t","196029127.59","E","Estimated value"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","27","Rice","t","1707309.69","E","Estimated value"
"QCL","Crops and livestock products","44","Colombia","5510","Production","27","Rice","t","2230305.97","E","Estimated value"
"QCL","Crops and livestock products","45","Comoros","5510","Production","27","Rice","t","525.82","E","Estimated value"
"QCL","Crops and livestock products","46","Congo","5510","Production","27","Rice","t","1205.85","E","Estimated value"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","27","Rice","t","207173.28","E","Estimated value"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","27","Rice","t","1154707.41","E","Estimated value"
"QCL","Crops and livestock products","98","Croatia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","49","Cuba","5510","Production","27","Rice","t","484432.4","E","Estimated value"
