Domain Code,Domain,Area Code (M49),Area,Indicator Code,Indicator,Sex Code,Sex,Year Code,Year,Element Code,Element,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2000","2000","6121","Value","3023","Labour force survey","%","24600","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2001","2001","6121","Value","3023","Labour force survey","%","24750","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2002","2002","6121","Value","3023","Labour force survey","%","25622","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2003","2003","6121","Value","3023","Labour force survey","%","27205","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2004","2004","6121","Value","3023","Labour force survey","%","25820","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2005","2005","6121","Value","3023","Labour force survey","%","26892","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2006","2006","6121","Value","3023","Labour force survey","%","26369","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2007","2007","6121","Value","3023","Labour force survey","%","25983","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2008","2008","6121","Value","3023","Labour force survey","%","26023","X","Figure from international organizations","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2009","2009","6121","Value","3023","Labour force survey","%","26407","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2010","2010","6121","Value","3023","Labour force survey","%","26383","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
"OEA","Employment Indicators: Agriculture","360","Indonesia","21091","Employment in agriculture, forestry and fishing by status of employment, total","2","Male","2011","2011","6121","Value","3023","Labour force survey","%","25465","X","Figure from international organizations","Repository: ILO-STATISTICS - Micro data processing"
