Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","107","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","107","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","108","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","108","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","108","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","109","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","110","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","112","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","113","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","115","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","116","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","118","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","120","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","122","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","124","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","126","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","127","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","128","E","Estimated value",""
"FS","Suite of Food Security Indicators","360","Indonesia","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","127","E","Estimated value",""
